               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.11084,            0.057376,                   0,             0.10119,             0.30688,            0.089579,            0.020637,             0.10592,            0.061031,                   0,            0.030465,            0.005465,            0.005465
                  38,              0.1109,            0.070531,                   0,             0.12603,             0.19312,             0.10112,            0.022801,             0.10463,            0.060136,                   0,            0.028554,           0.0055543,           0.0055543
                  39,             0.10892,            0.061383,                   0,             0.12603,             0.19312,             0.10112,            0.022801,             0.10463,            0.060136,                   0,            0.026641,           0.0056406,           0.0056406
                  40,             0.10728,            0.069107,                   0,             0.14486,             0.17196,            0.096092,            0.023681,             0.10455,             0.05952,                   0,            0.024724,            0.005724,            0.005724
                  41,             0.10645,            0.062187,                   0,             0.14912,             0.22487,             0.10734,            0.028173,             0.10131,            0.060516,                   0,            0.022804,           0.0058045,           0.0058045
                  42,             0.10148,            0.067674,                   0,             0.14912,             0.22487,             0.10734,            0.028173,             0.10131,            0.060516,                   0,            0.020882,            0.005882,            0.005882
                  43,             0.10844,             0.07288,                   0,             0.12573,             0.27513,             0.10541,             0.02753,             0.10297,            0.061586,                   0,            0.018957,           0.0059566,           0.0059566
                  44,            0.099539,            0.069054,                   0,             0.12573,             0.27513,             0.10541,             0.02753,             0.10297,            0.061586,                   0,            0.017028,           0.0060283,           0.0060283
                  45,            0.099993,            0.063752,                   0,             0.14799,             0.31481,             0.12158,            0.031234,            0.098997,            0.063798,                   0,            0.015097,            0.006097,            0.006097
                  46,             0.09718,            0.070777,                   0,             0.14799,             0.31481,             0.12158,            0.031234,            0.098997,            0.063798,                   0,            0.013163,           0.0061628,           0.0061628
                  47,            0.099951,            0.072181,                   0,             0.15102,             0.26455,             0.12321,            0.034751,            0.099624,            0.066014,                   0,            0.011226,           0.0062257,           0.0062257
                  48,            0.099212,            0.078888,                   0,             0.15102,             0.26455,             0.12321,            0.034751,            0.099624,            0.066014,                   0,           0.0092856,           0.0062856,           0.0062856
                  49,            0.096301,            0.067124,                   0,             0.18589,             0.30423,             0.13766,            0.039688,             0.10063,            0.066838,                   0,           0.0073426,           0.0063426,           0.0063426
                  50,            0.098947,            0.071607,                   0,             0.18589,             0.30423,             0.13766,            0.039688,             0.10063,            0.066838,                   0,           0.0063333,           0.0063333,           0.0063333
                  51,             0.10073,            0.069197,                   0,             0.16725,             0.28571,             0.12443,            0.033841,             0.10037,            0.068644,                   0,           0.0063333,           0.0063333,           0.0063333
                  52,            0.095282,            0.072295,                   0,             0.16725,             0.28571,             0.12443,            0.033841,             0.10037,            0.068644,                   0,             0.00626,             0.00626,             0.00626
                  53,            0.096357,            0.080749,                   0,             0.21305,             0.33598,             0.16312,            0.043901,            0.094285,            0.074456,                   0,           0.0061867,           0.0061867,           0.0061867
                  54,             0.09519,            0.075172,                   0,             0.21305,             0.33598,             0.16312,            0.043901,            0.094285,            0.074456,                   0,           0.0061133,           0.0061133,           0.0061133
                  55,            0.098618,            0.074494,                   0,             0.21002,             0.29101,             0.15687,             0.04448,            0.092255,            0.070804,                   0,             0.00604,             0.00604,             0.00604
                  56,            0.090917,            0.077717,                   0,             0.21002,             0.29101,             0.15687,             0.04448,            0.092255,            0.070804,                   0,           0.0059667,           0.0059667,           0.0059667
                  57,            0.089127,            0.084615,                   0,             0.20738,             0.35979,             0.16386,            0.038942,            0.088951,            0.076026,                   0,           0.0058933,           0.0058933,           0.0058933
                  58,            0.081921,            0.069477,                   0,             0.20738,             0.35979,             0.16386,            0.038942,            0.088951,            0.076026,                   0,             0.00582,             0.00582,             0.00582
                  59,            0.092407,            0.082341,                   0,              0.2143,             0.34202,             0.17807,            0.051374,            0.093901,             0.06891,                   0,           0.0057467,           0.0057467,           0.0057467
                  60,            0.085446,            0.082727,                   0,              0.2143,             0.34202,             0.17807,            0.051374,            0.093901,             0.06891,                   0,           0.0056733,           0.0056733,           0.0056733
                  61,             0.08555,            0.074243,                   0,             0.20083,              0.3836,             0.17001,            0.044723,            0.085307,            0.067699,                   0,              0.0056,              0.0056,              0.0056
                  62,            0.083441,            0.078698,                   0,             0.20083,              0.3836,             0.17001,            0.044723,            0.085307,            0.067699,                   0,           0.0055267,           0.0055267,           0.0055267
                  63,            0.078583,            0.060979,                   0,             0.10273,             0.40741,             0.09541,            0.026931,            0.091135,             0.06336,                   0,           0.0054533,           0.0054533,           0.0054533
                  64,               0.084,             0.08135,                   0,             0.10273,             0.40741,             0.09541,            0.026931,            0.091135,             0.06336,                   0,             0.00538,             0.00538,             0.00538
                  65,            0.084112,            0.074228,                   0,              0.1858,             0.38889,             0.16008,            0.046043,            0.082855,            0.063673,                   0,           0.0053067,           0.0053067,           0.0053067
                  66,             0.07925,            0.082036,                   0,              0.1858,             0.38889,             0.16008,            0.046043,            0.082855,            0.063673,                   0,           0.0052333,           0.0052333,           0.0052333
                  67,            0.081845,            0.079827,                   0,             0.17079,             0.28042,             0.12818,            0.039439,            0.087276,            0.065862,                   0,             0.00516,             0.00516,             0.00516
                  68,            0.079491,            0.078278,                   0,             0.17079,             0.28042,             0.12818,            0.039439,            0.087276,            0.065862,                   0,           0.0050867,           0.0050867,           0.0050867
                  69,            0.080903,            0.081546,                   0,             0.27532,             0.35185,             0.23177,            0.068005,            0.084234,            0.068607,                   0,           0.0050133,           0.0050133,           0.0050133
