               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.11038,            0.098325,            0.012886,             0.39511,            0.080044,            0.034998,           0.0085642,             0.10849,            0.079314,            0.013612,            0.035116,           0.0061159,           0.0061159
                  36,             0.10745,            0.093193,            0.010704,             0.39511,            0.080044,            0.034998,           0.0085642,             0.10849,            0.079314,            0.013612,            0.033259,           0.0062593,           0.0062593
                  37,             0.11053,            0.076378,            0.012006,               0.733,            0.087719,             0.03973,           0.0096995,             0.10763,            0.077665,             0.01395,            0.031401,           0.0064011,           0.0064011
                  38,             0.11152,            0.096384,            0.011915,             0.73429,             0.10033,            0.046455,            0.010823,             0.10778,            0.080576,            0.013093,            0.029541,           0.0065413,           0.0065413
                  39,             0.10615,            0.083286,            0.011808,             0.73429,             0.10033,            0.046455,            0.010823,             0.10778,            0.080576,            0.013093,             0.02768,           0.0066799,           0.0066799
                  40,             0.10576,            0.094673,            0.011341,             0.73126,            0.099351,            0.047161,            0.011933,               0.107,            0.077462,            0.012478,            0.025817,            0.006817,            0.006817
                  41,             0.10345,            0.085911,             0.01512,             0.71744,             0.12061,            0.039798,            0.010016,             0.10533,            0.076081,            0.012152,            0.023952,           0.0069524,           0.0069524
                  42,             0.10284,            0.084836,            0.010142,             0.71744,             0.12061,            0.039798,            0.010016,             0.10533,            0.076081,            0.012152,            0.022086,           0.0070863,           0.0070863
                  43,             0.10882,            0.094408,             0.01461,             0.72491,             0.11404,            0.049825,            0.012592,               0.107,            0.076423,            0.011923,            0.020219,           0.0072186,           0.0072186
                  44,             0.10296,            0.091914,           0.0064532,             0.72491,             0.11404,            0.049825,            0.012592,               0.107,            0.076423,            0.011923,            0.018349,           0.0073493,           0.0073493
                  45,             0.10028,            0.088724,           0.0092133,             0.70713,             0.10467,            0.031251,           0.0078184,             0.10948,            0.077239,             0.01141,            0.016478,           0.0074784,           0.0074784
                  46,             0.10554,            0.092879,            0.016277,             0.70713,             0.10467,            0.031251,           0.0078184,             0.10948,            0.077239,             0.01141,            0.014606,           0.0076059,           0.0076059
                  47,             0.10681,            0.089286,           0.0088721,             0.72654,             0.10691,            0.046036,            0.013365,             0.11247,            0.073883,            0.011196,            0.012732,           0.0077319,           0.0077319
                  48,             0.10633,             0.10206,           0.0081261,             0.72654,             0.10691,            0.046036,            0.013365,             0.11247,            0.073883,            0.011196,            0.010856,           0.0078562,           0.0078562
                  49,             0.10437,            0.087157,            0.013598,             0.39922,             0.09549,            0.049518,            0.013649,             0.10623,            0.070861,            0.010801,            0.008979,            0.007979,            0.007979
                  50,              0.1021,             0.09651,           0.0085142,             0.39922,             0.09549,            0.049518,            0.013649,             0.10623,            0.070861,            0.010801,             0.00802,             0.00802,             0.00802
                  51,             0.10261,             0.08415,            0.016439,             0.41282,             0.10526,            0.070131,            0.021099,             0.10269,             0.07218,             0.01032,             0.00802,             0.00802,             0.00802
                  52,            0.096957,            0.096009,           0.0096972,             0.41282,             0.10526,            0.070131,            0.021099,             0.10269,             0.07218,             0.01032,           0.0079804,           0.0079804,           0.0079804
                  53,            0.098117,             0.11328,           0.0075605,             0.39565,             0.15461,            0.060008,            0.017244,            0.098028,            0.095745,             0.01009,           0.0079408,           0.0079408,           0.0079408
                  54,            0.095449,            0.096735,           0.0058399,             0.39565,             0.15461,            0.060008,            0.017244,            0.098028,            0.095745,             0.01009,           0.0079012,           0.0079012,           0.0079012
                  55,            0.099157,             0.10275,           0.0081049,             0.39829,             0.25638,            0.039196,            0.011001,              0.1014,             0.08701,           0.0096404,           0.0078616,           0.0078616,           0.0078616
                  56,            0.092843,             0.10455,           0.0055499,             0.39829,             0.25638,            0.039196,            0.011001,              0.1014,             0.08701,           0.0096404,            0.007822,            0.007822,            0.007822
                  57,            0.093922,             0.10957,            0.010239,             0.40107,             0.31577,            0.053876,            0.015806,            0.095139,            0.097868,           0.0094192,           0.0077824,           0.0077824,           0.0077824
                  58,            0.087684,            0.089645,            0.010453,             0.40107,             0.31577,            0.053876,            0.015806,            0.095139,            0.097868,           0.0094192,           0.0077428,           0.0077428,           0.0077428
                  59,            0.094795,              0.1045,           0.0054009,             0.39224,             0.25182,             0.03536,            0.011154,             0.10121,            0.093886,           0.0091676,           0.0077032,           0.0077032,           0.0077032
                  60,            0.092765,             0.10804,           0.0069707,             0.39224,             0.25182,             0.03536,            0.011154,             0.10121,            0.093886,           0.0091676,           0.0076636,           0.0076636,           0.0076636
                  61,            0.092716,             0.09472,             0.01182,             0.39931,             0.29877,            0.039793,            0.011084,            0.097729,            0.092247,           0.0093801,            0.007624,            0.007624,            0.007624
                  62,            0.091797,             0.10309,            0.010787,             0.39931,             0.29877,            0.039793,            0.011084,            0.097729,            0.092247,           0.0093801,           0.0075844,           0.0075844,           0.0075844
                  63,            0.087448,            0.075116,           0.0066973,             0.37603,             0.11458,            0.034108,           0.0088813,            0.089832,            0.084867,           0.0092307,           0.0075448,           0.0075448,           0.0075448
                  64,            0.088281,              0.1003,           0.0081941,             0.37603,             0.11458,            0.034108,           0.0088813,            0.089832,            0.084867,           0.0092307,           0.0075052,           0.0075052,           0.0075052
                  65,             0.08962,            0.092547,            0.011494,             0.38825,             0.31851,            0.054799,            0.014414,            0.092435,            0.085634,           0.0088789,           0.0074656,           0.0074656,           0.0074656
                  66,            0.085901,             0.10991,           0.0096979,             0.38825,             0.31851,            0.054799,            0.014414,            0.092435,            0.085634,           0.0088789,            0.007426,            0.007426,            0.007426
                  67,            0.087626,             0.10694,            0.010081,             0.72805,             0.15461,            0.070025,            0.017159,            0.088375,             0.10384,           0.0087962,           0.0073864,           0.0073864,           0.0073864
                  68,            0.083014,             0.10884,            0.010182,             0.72805,             0.15461,            0.070025,            0.017159,            0.088375,             0.10384,           0.0087962,           0.0073468,           0.0073468,           0.0073468
                  69,            0.087775,             0.10877,           0.0087996,             0.72685,             0.15789,            0.062482,             0.01875,            0.082965,             0.10847,           0.0086839,           0.0073072,           0.0073072,           0.0073072
                  70,            0.082207,             0.11341,           0.0074878,             0.72685,             0.15789,            0.062482,             0.01875,            0.082965,             0.10847,           0.0086839,           0.0072676,           0.0072676,           0.0072676
                  71,            0.081724,             0.10534,            0.005752,             0.71049,             0.13158,            0.039083,            0.010516,            0.091444,             0.11814,           0.0086217,            0.007228,            0.007228,            0.007228
                  72,            0.087357,             0.10025,           0.0075849,             0.71049,             0.13158,            0.039083,            0.010516,            0.091444,             0.11814,           0.0086217,           0.0071884,           0.0071884,           0.0071884
                  73,             0.08658,             0.10337,           0.0094409,             0.72855,             0.16776,            0.061984,            0.019993,            0.083007,             0.10371,           0.0083703,           0.0071488,           0.0071488,           0.0071488
                  74,            0.080816,             0.10912,           0.0092036,             0.72855,             0.16776,            0.061984,            0.019993,            0.083007,             0.10371,           0.0083703,           0.0071092,           0.0071092,           0.0071092
                  75,            0.081124,             0.10048,           0.0087545,             0.72185,             0.14782,            0.056657,            0.014756,            0.086456,             0.10611,           0.0082558,           0.0070696,           0.0070696,           0.0070696
                  76,            0.085202,              0.1095,           0.0073788,             0.72185,             0.14782,            0.056657,            0.014756,            0.086456,             0.10611,           0.0082558,             0.00703,             0.00703,             0.00703
                  77,            0.086574,             0.11242,            0.012732,             0.73637,             0.17191,            0.067572,            0.021712,            0.083907,             0.10358,           0.0081928,           0.0069904,           0.0069904,           0.0069904
                  78,            0.081018,            0.080858,            0.012738,             0.73637,             0.17191,            0.067572,            0.021712,            0.083907,             0.10358,           0.0081928,           0.0069508,           0.0069508,           0.0069508
                  79,            0.082959,            0.095273,           0.0080699,             0.74367,             0.14419,            0.076584,            0.022474,            0.082094,             0.10005,           0.0082222,           0.0069112,           0.0069112,           0.0069112
                  80,            0.078698,             0.10585,           0.0074434,             0.74367,             0.14419,            0.076584,            0.022474,            0.082094,             0.10005,           0.0082222,           0.0068716,           0.0068716,           0.0068716
                  81,            0.079483,              0.1083,           0.0086419,             0.77571,             0.17982,              0.1223,              0.0419,            0.083006,            0.095242,           0.0080593,            0.006832,            0.006832,            0.006832
                  82,            0.086333,            0.095305,           0.0092396,             0.77571,             0.17982,              0.1223,              0.0419,            0.083006,            0.095242,           0.0080593,           0.0067924,           0.0067924,           0.0067924
                  83,            0.083155,            0.096117,           0.0097336,             0.76697,             0.15844,             0.10196,            0.033451,            0.079428,            0.093555,            0.008207,           0.0067528,           0.0067528,           0.0067528
                  84,            0.077648,             0.10328,            0.011568,             0.76697,             0.15844,             0.10196,            0.033451,            0.079428,            0.093555,            0.008207,           0.0067132,           0.0067132,           0.0067132
                  85,             0.07723,             0.10126,           0.0063349,             0.77725,             0.17066,             0.12126,            0.042432,            0.076545,             0.09127,           0.0080013,           0.0066736,           0.0066736,           0.0066736
                  86,            0.080111,             0.10763,           0.0094799,             0.77725,             0.17066,             0.12126,            0.042432,            0.076545,             0.09127,           0.0080013,            0.006634,            0.006634,            0.006634
                  87,            0.079686,             0.11916,            0.010953,             0.77327,             0.17599,             0.12633,            0.042709,            0.077742,            0.098354,           0.0081274,           0.0065944,           0.0065944,           0.0065944
                  88,            0.076317,             0.10055,           0.0079778,             0.77327,             0.17599,             0.12633,            0.042709,            0.077742,            0.098354,           0.0081274,           0.0065548,           0.0065548,           0.0065548
                  89,            0.078196,              0.1075,           0.0089789,             0.76154,             0.19518,             0.11405,            0.040827,            0.073699,            0.090548,           0.0079911,           0.0065152,           0.0065152,           0.0065152
                  90,            0.077929,             0.11117,           0.0072699,             0.76154,             0.19518,             0.11405,            0.040827,            0.073699,            0.090548,           0.0079911,           0.0064756,           0.0064756,           0.0064756
                  91,            0.079783,             0.11302,           0.0054436,             0.79064,             0.16831,             0.14037,            0.046618,            0.077789,            0.088085,           0.0080247,            0.006436,            0.006436,            0.006436
                  92,            0.079124,            0.090312,           0.0082458,             0.79064,             0.16831,             0.14037,            0.046618,            0.077789,            0.088085,           0.0080247,           0.0063964,           0.0063964,           0.0063964
                  93,            0.075388,            0.094213,           0.0073585,             0.76551,              0.2193,             0.10731,            0.037992,             0.07267,            0.085745,           0.0078558,           0.0063568,           0.0063568,           0.0063568
                  94,             0.07324,            0.091168,           0.0047637,             0.76551,              0.2193,             0.10731,            0.037992,             0.07267,            0.085745,           0.0078558,           0.0063172,           0.0063172,           0.0063172
                  95,            0.076779,             0.11032,           0.0094122,             0.82313,             0.21162,             0.18248,             0.07059,            0.068634,            0.085563,           0.0078101,           0.0062776,           0.0062776,           0.0062776
                  96,            0.069812,             0.10264,           0.0066639,             0.82313,             0.21162,             0.18248,             0.07059,            0.068634,            0.085563,           0.0078101,            0.006238,            0.006238,            0.006238
                  97,            0.071502,             0.11292,           0.0064871,             0.77277,             0.19518,             0.12793,            0.048648,            0.072246,            0.087222,           0.0076503,           0.0061984,           0.0061984,           0.0061984
                  98,            0.073803,             0.09207,           0.0078821,             0.77277,             0.19518,             0.12793,            0.048648,            0.072246,            0.087222,           0.0076503,           0.0061588,           0.0061588,           0.0061588
                  99,            0.073651,             0.11558,           0.0074875,             0.77168,             0.20011,             0.12501,            0.045037,            0.074284,            0.087181,           0.0076369,           0.0061192,           0.0061192,           0.0061192
                 100,            0.076332,             0.09256,           0.0040104,             0.77168,             0.20011,             0.12501,            0.045037,            0.074284,            0.087181,           0.0076369,           0.0060796,           0.0060796,           0.0060796
                 101,            0.074555,            0.093478,           0.0084446,             0.78222,             0.19927,             0.13635,            0.052393,            0.067657,            0.080749,           0.0075663,             0.00604,             0.00604,             0.00604
                 102,            0.074649,             0.14462,           0.0060691,             0.78222,             0.19927,             0.13635,            0.052393,            0.067657,            0.080749,           0.0075663,           0.0060004,           0.0060004,           0.0060004
                 103,            0.074674,            0.084741,           0.0081532,             0.81228,             0.20395,             0.16237,            0.061356,            0.068738,            0.077415,           0.0075691,           0.0059608,           0.0059608,           0.0059608
                 104,            0.071769,             0.09593,           0.0097664,             0.81228,             0.20395,             0.16237,            0.061356,            0.068738,            0.077415,           0.0075691,           0.0059212,           0.0059212,           0.0059212
                 105,            0.068922,             0.10726,           0.0068493,             0.77743,             0.19572,             0.13014,            0.047109,            0.071265,             0.07898,           0.0075495,           0.0058816,           0.0058816,           0.0058816
                 106,            0.073701,             0.10342,           0.0093204,             0.77743,             0.19572,             0.13014,            0.047109,            0.071265,             0.07898,           0.0075495,            0.005842,            0.005842,            0.005842
                 107,            0.080585,            0.093453,           0.0094464,             0.81461,             0.21491,             0.17197,            0.067387,            0.068773,            0.077989,           0.0075964,           0.0058024,           0.0058024,           0.0058024
                 108,            0.070006,             0.11539,           0.0054491,             0.81461,             0.21491,             0.17197,            0.067387,            0.068773,            0.077989,           0.0075964,           0.0057628,           0.0057628,           0.0057628
                 109,            0.071943,             0.10524,           0.0038177,              0.8018,             0.20395,             0.16395,            0.062699,            0.066624,            0.078723,           0.0075781,           0.0057232,           0.0057232,           0.0057232
                 110,             0.07131,            0.099578,           0.0046277,              0.8018,             0.20395,             0.16395,            0.062699,            0.066624,            0.078723,           0.0075781,           0.0056836,           0.0056836,           0.0056836
                 111,            0.070343,             0.10328,           0.0059229,             0.78284,              0.1886,             0.14663,            0.059041,            0.068753,            0.078778,           0.0075508,            0.005644,            0.005644,            0.005644
                 112,            0.071815,             0.10323,           0.0057896,             0.78284,              0.1886,             0.14663,            0.059041,            0.068753,            0.078778,           0.0075508,           0.0056044,           0.0056044,           0.0056044
                 113,            0.070878,             0.10489,           0.0086568,             0.81024,             0.19993,             0.16432,            0.062752,             0.06729,            0.078504,           0.0075285,           0.0055648,           0.0055648,           0.0055648
                 114,            0.070073,             0.10508,            0.010136,             0.81024,             0.19993,             0.16432,            0.062752,             0.06729,            0.078504,           0.0075285,           0.0055252,           0.0055252,           0.0055252
                 115,            0.070194,            0.094189,           0.0067903,             0.81464,              0.2034,             0.17207,            0.070036,            0.065882,            0.077096,           0.0075351,           0.0054856,           0.0054856,           0.0054856
                 116,            0.070838,             0.10147,           0.0095882,             0.81464,              0.2034,             0.17207,            0.070036,            0.065882,            0.077096,           0.0075351,            0.005446,            0.005446,            0.005446
                 117,            0.064566,            0.075259,           0.0085355,              0.8084,             0.19142,             0.14411,            0.051677,            0.069157,             0.07514,            0.007538,           0.0054064,           0.0054064,           0.0054064
                 118,             0.07612,             0.11395,           0.0060276,              0.8084,             0.19142,             0.14411,            0.051677,            0.069157,             0.07514,            0.007538,           0.0053668,           0.0053668,           0.0053668
                 119,            0.071155,             0.10279,           0.0034607,             0.83868,             0.20694,             0.19278,            0.074345,            0.065046,            0.076145,           0.0074967,           0.0053272,           0.0053272,           0.0053272
                 120,            0.068256,             0.11952,           0.0079323,             0.83868,             0.20694,             0.19278,            0.074345,            0.065046,            0.076145,           0.0074967,           0.0052876,           0.0052876,           0.0052876
                 121,            0.069106,             0.12043,           0.0083423,             0.83864,             0.21875,             0.20731,            0.085388,            0.063297,            0.077597,           0.0074433,            0.005248,            0.005248,            0.005248
